id,nombre,apellido,genero,animalfavorito,sueldo
879,Josiah,Voysey,Female,"Beaver, eurasian",2282.7
880,Urbano,Ivel,Male,"Starling, red-shouldered glossy",3291.8
881,Mord,Gillcrist,Male,Red-winged hawk (unidentified),4497.1
882,Annaliese,Simond,Genderqueer,"Fox, north american red",2370.4
883,Worden,Kiehnlt,Male,Gelada baboon,1689.6
884,Deonne,Emmens,Female,"Sheathbill, snowy",4435.4
885,Jarrod,Deverson,Bigender,Serval,3463.7
886,Sherri,Barfoot,Female,"Cockatoo, roseate",4474.4
887,Ainsley,Bunhill,Bigender,Swallow-tail gull,3276.2
888,Jacquie,Cockran,Female,White-winged dove,2606.1
889,Rebbecca,Gogin,Polygender,"Goose, egyptian",4059.8
890,Stephannie,Gook,Agender,Black kite,2077.4
891,Ozzie,Inde,Agender,Flying fox (unidentified),1672.3
892,Russell,Arenson,Genderqueer,African elephant,4451.6
893,Adrea,Pessold,Non-binary,"Macaque, bonnet",1930.7
894,Merrill,Aindrais,Agender,Savanna fox,2701.5
895,Abeu,Fender,Male,Red hartebeest,2684.8
896,Valentin,Beall,Non-binary,"Dolphin, striped",3270.8
897,Osmond,Eldred,Non-binary,"Stork, white",2102.7
898,Maryl,Di Lucia,Genderqueer,"Whale, long-finned pilot",4740.7
899,Aeriell,Pedrazzi,Genderqueer,"Vulture, turkey",3545.8
900,Gasper,Scyner,Genderqueer,"Marmot, yellow-bellied",2754.8
901,Sim,Brickdale,Polygender,"Boa, cook's tree",3367.7
902,Arman,Staning,Polygender,"Wildebeest, blue",3775.9
903,Ave,Philippson,Genderfluid,"Sheep, red",1779.8
904,Ernst,Beller,Male,Collared peccary,4206.0
905,Sebastiano,Shotbolt,Bigender,"Owl, white-browed",2835.1
906,Juliana,Weekly,Non-binary,White-tailed deer,1890.0
907,Dotty,Condell,Genderqueer,"Grouse, greater sage",1977.5
908,Stafford,Symers,Agender,"Bettong, brush-tailed",3026.7
909,Cazzie,Dell 'Orto,Bigender,Magellanic penguin,3446.6
910,Codee,Kunkler,Genderfluid,"Rattlesnake, eastern diamondback",1938.1
911,Andra,Solman,Polygender,"Waxbill, black-cheeked",1768.7
912,Amalea,Correa,Non-binary,Asian water dragon,3220.2
913,Jolyn,Leeming,Genderqueer,"Dragon, komodo",1564.4
914,Brendis,Towner,Female,Brush-tailed rat kangaroo,2336.6
915,Auroora,Aysh,Male,African snake (unidentified),4766.9
916,Kiley,De la Yglesia,Genderqueer,Southern tamandua,4581.4
917,Larissa,Lobe,Genderqueer,Honey badger,4925.6
918,Jamesy,Heaps,Non-binary,Warthog,2733.1
919,Quentin,Shannahan,Female,Blue peacock,2758.9
920,Neda,Sackler,Non-binary,"Devil, tasmanian",2059.8
921,Paxon,Torbet,Genderfluid,Feathertail glider,1769.3
922,Clarabelle,Asprey,Male,"Lorikeet, scaly-breasted",3584.7
923,Nannette,Kinghorne,Genderqueer,"Butterfly, tropical buckeye",4271.0
924,Jere,Rushbrooke,Male,"Seal, northern fur",2416.7
925,Ardene,Haddleton,Female,Malagasy ground boa,4424.7
926,Clementius,Bagg,Bigender,Black-tailed prairie dog,4069.5
927,Ferguson,Garrie,Bigender,"Roadrunner, greater",2006.0
928,Laryssa,Chrystie,Genderfluid,Radiated tortoise,3845.4
929,Alain,Argent,Bigender,Meerkat,3815.6
930,Renie,Labrow,Agender,"Coatimundi, white-nosed",4488.2
931,Rorke,Tithacott,Polygender,"Raven, cape",3065.4
932,Avivah,Klammt,Genderfluid,Wild water buffalo,2718.5
933,Jodi,Hamson,Polygender,"Shrike, common boubou",4224.0
934,Alfons,Follan,Genderqueer,Denham's bustard,4578.3
935,Randee,Dudding,Genderfluid,Llama,4539.9
936,Ingaborg,Gabbat,Bigender,"Pie, indian tree",2302.3
937,Orelee,Keepence,Female,"Stilt, black-winged",2510.8
938,Quinn,Duchart,Agender,"Coatimundi, white-nosed",2578.5
939,Gwenora,Roswarne,Polygender,House crow,4504.3
940,Annmaria,Ellis,Agender,Common wombat,2001.7
941,Fidelia,Caddens,Agender,"Elephant, african",4231.0
942,Tamara,Dorant,Male,"Puma, south american",3089.3
943,Marianna,Colmer,Male,Eurasian badger,4985.5
944,Horacio,Dormon,Female,"Kangaroo, black-faced",1716.3
945,Abbye,Kahane,Polygender,Spectacled caiman,2171.8
946,Arley,Humes,Polygender,Carpet snake,2622.7
947,Hussein,Malitrott,Polygender,White-fronted capuchin,1766.0
948,Dionisio,Farra,Genderqueer,Ground monitor (unidentified),3745.9
949,Sanford,Oene,Non-binary,Lesser double-collared sunbird,3612.4
950,Guillemette,Solesbury,Polygender,Burchell's gonolek,1770.2
951,Marlyn,Poytres,Non-binary,Blue catfish,4302.1
952,Abner,Waber,Polygender,Magnificent frigate bird,2642.1
953,Tim,Putnam,Bigender,Yellow-billed hornbill,2133.7
954,Clementina,Drable,Agender,Common mynah,3627.3
955,Bettina,Karchowski,Genderfluid,Bontebok,1781.5
956,Russell,Feldstein,Male,Snow goose,2088.1
957,Jeannie,Robertet,Non-binary,Woylie,2401.7
958,Tatiania,Foulds,Polygender,"Kiskadee, great",4976.0
959,Xavier,Breslin,Agender,"Jackrabbit, white-tailed",4576.0
960,Ryann,Tuohy,Genderqueer,Black vulture,1718.1
961,Prudy,Pellett,Non-binary,"Zebra, plains",1865.1
962,Nikolaus,Orviss,Genderqueer,Eleven-banded armadillo (unidentified),3279.6
963,Christa,Asbery,Non-binary,Pocket gopher (unidentified),3152.4
964,Sondra,Siddon,Male,Eastern dwarf mongoose,4820.1
965,Udall,Sandells,Polygender,"Squirrel, eurasian red",2949.1
966,Heddie,Rustman,Agender,"Turkey, wild",4718.5
967,Cara,Cradoc,Male,Green-backed heron,4590.5
968,Onofredo,Amiss,Male,Raccoon dog,2032.4
969,Lancelot,Stringfellow,Agender,American bighorn sheep,3785.2
970,Cordie,Dorwood,Genderfluid,"Jackal, indian",4647.0
971,Angelica,Hedderly,Genderfluid,Andean goose,4081.9
972,Jefferson,Trimme,Male,Mara,1692.6
973,Cassey,Whiteley,Agender,"Phascogale, red-tailed",4379.2
974,Brinna,Riguard,Genderfluid,"Robin, white-throated",2189.3
975,Gena,Chaffey,Genderqueer,"Toucan, red-billed",2300.7
976,Alissa,Mitchenson,Genderfluid,White-faced whistling duck,3572.0
977,Norma,Gunther,Female,"Squirrel, red",3154.5
978,Trenton,Burdass,Male,White-headed vulture,3917.2
979,Siward,Crole,Bigender,"Mongoose, eastern dwarf",4679.6
980,Nolana,Durie,Male,Pied kingfisher,3877.3
981,Elli,McCabe,Genderfluid,"Hen, sage",2080.9
982,Conroy,Kaubisch,Polygender,"Dog, black-tailed prairie",4556.4
983,Karlene,Heake,Genderqueer,Potoroo,3846.0
984,Theodosia,Lewer,Female,"Booby, blue-footed",3786.9
985,Andrea,MacGiolla,Polygender,"Spoonbill, european",2611.5
986,Leoline,McTrustram,Female,House sparrow,3063.3
987,Charity,Brice,Genderfluid,"Goldeneye, common",2380.2
988,Wendye,Saltmarsh,Genderqueer,Southern lapwing,4251.3
989,Roanna,Senner,Female,African red-eyed bulbul,3432.3
990,Tally,Toulamain,Polygender,"Dog, black-tailed prairie",3594.2
991,Randi,Peert,Bigender,Rose-ringed parakeet,2556.5
992,Shelly,Gayforth,Agender,"Gecko, barking",4745.8
993,Brenn,Caress,Bigender,Seven-banded armadillo,2541.5
994,Julissa,Hannabuss,Male,Tyrant flycatcher,2246.7
995,Zollie,Banham,Genderqueer,Asian lion,4185.1
996,Raymond,Maddrell,Non-binary,Coke's hartebeest,3483.6
997,Mellicent,Mapston,Male,"Penguin, little blue",3255.6
998,Lydia,Mariot,Non-binary,Canada goose,1810.6
999,Wiatt,Arpur,Polygender,Horned puffin,3857.1
1000,Darnell,Sire,Female,Red-tailed cockatoo,3277.0
